**Numeric Value Property**;Cause;Month;YEAR;NUMBER;RATE;;;;;;;;;;;;;;;;;
Deaths;Suicide;January;2022;4147;8.3874360374573;;;;;;;;;;;;;;;;;
Deaths;Suicide;February;2022;3809;7.7038205610501;;;;;;;;;;;;;;;;;
Deaths;Suicide;March;2022;4102;8.2964221426693;;;;;;;;;;;;;;;;;
Deaths;Suicide;April;2022;4022;8.1346196630463;;;;;;;;;;;;;;;;;
Deaths;Suicide;May;2022;4374;8.8465505733875;;;;;;;;;;;;;;;;;
Deaths;Suicide;June;2022;4271;8.6382298808729;;;;;;;;;;;;;;;;;
Deaths;Suicide;July;2022;4364;8.8263252634347;;;;;;;;;;;;;;;;;
Deaths;Suicide;August;2022;4339;8.7757619885525;;;;;;;;;;;;;;;;;
Deaths;Suicide;September;2022;4100;8.2923770806788;;;;;;;;;;;;;;;;;
Deaths;Suicide;October;2022;4076;8.2438363367919;;;;;;;;;;;;;;;;;
Deaths;Suicide;November;2022;3896;7.8797807576401;;;;;;;;;;;;;;;;;
Deaths;Suicide;December;2022;3943;7.9748397144186;;;;;;;;;;;;;;;;;
;Total;;;49443;;;;;;;;;;;;;;;;;;